ContractReference;EconomicActivity 
1072438670005;AGROPEC
1072664671002;PARTIC
1072600;PARTIC
1072844;PARTIC
1072925071001;PARTIC
1072676771001;PARTIC
1073022;PARTIC
1073238271004;PARTIC
1073238270002;PARTIC
1070888;PARTIC
1071066;PARTIC
1073736771003;PARTIC
1073466;PARTIC
1073549471005;PARTIC
1073600771001;PARTIC
1073633;PARTIC
1073800;PARTIC
1070593515001;PARTIC
1073299;PARTIC
1070593571001;PARTIC
1070611;PARTIC
1070693210001;PARTIC
106712;PARTIC
1067233;PARTIC
106737910001;PARTIC
106737970001;PARTIC
107381;PARTIC
1073812271003;PARTIC
107239;PARTIC
1072433;PARTIC
1074088;PARTIC
1074255;SERV
107426;PARTIC
10744;NULL
1074666;PARTIC
1074786571001;PARTIC
1074811271002;PARTIC
1074833;PARTIC
1075455;PARTIC
1075474371006;PARTIC
107552071001;PARTIC
1075608471002;PARTIC
1075622;PARTIC
107564115002;PARTIC
107352650001;PARTIC
107564170001;PARTIC
1073501010001;PARTIC
107568;PARTIC
107501215002;PARTIC
107501273002;PARTIC
1075163171001;PARTIC
1075288;PARTIC
1076488;PARTIC
1076497571001;PARTIC
1076655;PARTIC
1076784510001;PARTIC
1076822;PARTIC
1077000;PARTIC
1073549471002;PARTIC
1075899;PARTIC
1076077;PARTIC
1077277;PARTIC
1077396871001;PARTIC
1077433671001;PARTIC
1074422;PARTIC
1077444;PARTIC
1077671770001;COMER
1077706110001;PARTIC
1077968471002;PARTIC
1078066;PARTIC
1078072571004;PARTIC
1078084671006;PARTIC
107755;PARTIC
1077611;PARTIC
1077669371004;PARTIC
1078106971004;PARTIC
1078133571004;PARTIC
1078145671005;PARTIC
1078233;PARTIC
1078811;PARTIC
107897;PARTIC
1079099;PARTIC
1079156771002;PARTIC
1076261871005;PARTIC
1072266;PARTIC
1079283071005;PARTIC
1079531371005;PARTIC
1079594271001;PARTIC
107613;PARTIC
1076244;PARTIC
1072192771006;PARTIC
1074874171002;PARTIC
1075011;PARTIC
107501215001;PARTIC
1079600;PARTIC
1079655271001;PARTIC
1079266;PARTIC
1079704171004;PARTIC
1079877;PARTIC
1077718271004;PARTIC
1077888;PARTIC
1079893370001;COMER
1079893372001;COMER
1077956371002;PARTIC
1079915671004;PARTIC
1080014610001;PARTIC
1080077;PARTIC
1080211;PARTIC
1080391171005;PARTIC
1080488;PARTIC
1080588171002;PARTIC
1080655;PARTIC
1080875170004;IND TRANSF
108095;PARTIC
1081000;PARTIC
1081001570001;SERV
1081001570003;SERV
1081249310001;PARTIC
1081277;PARTIC
1081636071001;PARTIC
1081774471003;PARTIC
1081859671004;PARTIC
1081859671005;PARTIC
1081855;PARTIC
1078477;PARTIC
1082350471001;PARTIC
1082477;PARTIC
1078369271001;PARTIC
1078517871001;PARTIC
1082644;PARTIC
1082811;PARTIC
1078644;PARTIC
1080822;PARTIC
1083677;PARTIC
108512373003;PARTIC
1078656271002;PARTIC
107942;PARTIC
1079433;PARTIC
107950873001;PARTIC
108351671004;PARTIC
1084022771001;PARTIC
108469;PARTIC
108351671006;PARTIC
1080787571002;PARTIC
108514;PARTIC
1085196471003;PARTIC
1085269510001;PARTIC
1085318473001;PARTIC
1085383710001;PARTIC
1085383771001;PARTIC
108140;PARTIC
1081444;PARTIC
1080388771004;PARTIC
1085517871004;PARTIC
108587371005;PARTIC
1085456871004;PARTIC
1085468971003;PARTIC
1081611;PARTIC
1085468971004;PARTIC
1085495573001;PARTIC
1086954370002;SERV
1086215006;PARTIC
1086270006;PARTIC
1086270971001;PARTIC
108636273002;PARTIC
108650771005;PARTIC
1086681871002;PARTIC
108687071003;PARTIC
1087428271003;PARTIC
1083099;PARTIC
1086978571002;PARTIC
1083147671001;PARTIC
10879471002;PARTIC
108798;PARTIC
1087182371003;PARTIC
1087255471003;PARTIC
1087381771002;PARTIC
1087381771004;PARTIC
108282;PARTIC
1083266;PARTIC
108327;PARTIC
108985;PARTIC
1082033;PARTIC
1081152071001;PARTIC
1082200;PARTIC
1083433;PARTIC
10886;PARTIC
1089292171003;PARTIC
1092218771001;PARTIC
1090461271003;PARTIC
1091219771001;PARTIC
109275171001;PARTIC
1089676471001;PARTIC
10931;PARTIC
1090361571001;PARTIC
1093368271001;PARTIC
1092770471004;PARTIC
1090434671003;PARTIC
1085269571001;PARTIC
1093156715001;PARTIC
1088378371003;PARTIC
108843;PARTIC
1087005271003;PARTIC
1090497571004;PARTIC
1089538071002;PARTIC
1093156771001;PARTIC
1085505771002;PARTIC
109348273002;PARTIC
109370;PARTIC
1093716271001;PARTIC
109041;PARTIC
1094294171001;PARTIC
1094792670001;PARTIC
1094792671006;PARTIC
1090597271001;PARTIC
1090660610001;PARTIC
109547670003;IND TRANSF
109557;PARTIC
1094627671001;PARTIC
1094654270003;PARTIC
1094965471004;PARTIC
1094989671001;PARTIC
1095093771003;PARTIC
1090784510001;PARTIC
109183;PARTIC
1091832471001;PARTIC
1095653271003;PARTIC
1096139271005;PARTIC
1096153771004;PARTIC
1096153771005;PARTIC
1095427271003;PARTIC
1096353171002;PARTIC
1096365271002;PARTIC
1092831471001;PARTIC
1092855671001;PARTIC
