ID_Account;EconomicActivity;ID_Customer;Nperiods;minStartDate;minStartDate_Year;CAE
1196887871002;SERV;11968878;22;07.10.2008;2008;70100
1218205070001;CONSTR;12182050;18;04.06.2008;2008;45203
1224616940001;SERV;12246169;6;29.09.2008;2008;41000
1224616970001;SERV;12246169;11;13.11.2008;2008;41000
1225593670001;SERV;12255936;3;24.11.2008;2008;45202
1259313570001;SERV;12593135;51;26.02.2008;2008;93040
1272438440001;COMER;12724384;20;22.02.2008;2008;51900
1272625770001;SERV;12726257;66;13.08.2008;2008;93040
1272849370001;IND EXTRACT;12728493;46;01.10.2008;2008;11100
1280488270001;COMER;12804882;14;06.03.2008;2008;51900
1285033670001;CONSTR;12850336;17;28.02.2008;2008;45203
1293742670001;SERV;12937426;38;29.05.2008;2008;22120
1336599210001;COMER;13365992;1;22.02.2008;2008;52530
1392881970001;IND TRANSF;13928819;30;10.06.2008;2008;31900
1393531010001;SERV;13935310;2;04.11.2008;2008;75220
1393531040001;SERV;13935310;2;18.04.2008;2008;75220
1469198040001;CONSTR;14691980;33;23.05.2008;2008;45201
1536290270001;IND EXTRACT;15362902;45;29.09.2008;2008;11100
1551435440001;CONSTR;15514354;13;08.12.2008;2008;45203
1578232770001;SERV;15782327;8;11.12.2008;2008;91120
1582162610001;IND TRANSF;15821626;2;30.07.2008;2008;36990
2258040002;IND TRANSF;22580;9;14.10.2009;2009;15510
2471970006;COMER;24719;3;04.11.2009;2009;51900
2471970007;COMER;24719;2;19.11.2009;2009;51900
3755540001;IND EXTRACT;37555;2;03.06.2009;2009;11200
3816540001;SERV;38165;16;03.11.2009;2009;45202
4630670015;IND EXTRACT;46306;30;09.06.2009;2009;11200
5155370003;IND TRANSF;51553;7;14.08.2009;2009;40101
5542070004;COMER;55420;31;20.07.2009;2009;51900
5542070006;COMER;55420;22;29.10.2009;2009;51900
6302940002;IND TRANSF;63029;30;24.11.2009;2009;24111
8962070004;IND EXTRACT;89620;2;10.08.2009;2009;11200
15449040002;COMER;154490;35;29.06.2009;2009;51321
18108270001;IND TRANSF;181082;7;05.08.2009;2009;15510
18108272002;IND TRANSF;181082;32;28.09.2009;2009;15510
22911240004;COMER;229112;27;28.12.2009;2009;52206
38264870003;COMER;382648;6;09.09.2009;2009;51104
38264870004;COMER;382648;33;19.10.2009;2009;51104
38850970003;SERV;388509;43;31.07.2009;2009;92430
38850970005;SERV;388509;23;30.11.2009;2009;92430
39550840002;COMER;395508;35;26.10.2009;2009;51900
